Date,AAPL,ABBV,ADBE,AMZN,AVGO,BRK-B,COST,CRM,CVX,GOOG,GOOGL,HD,JNJ,JPM,LLY,MA,META,MRK,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2017-04-10,33.41202545166016,47.34865188598633,130.16000366210938,45.35200119018555,173.0899658203125,166.35000610351562,147.52244567871094,84.1301040649414,81.22212982177734,41.23649978637695,42.084999084472656,125.26712036132812,102.95562744140624,70.4819107055664,75.33113861083984,107.97120666503906,140.8905029296875,48.25619888305664,60.08385467529297,24.120574951171875,73.97437286376953,20.826000213623047,149.23419189453125,84.71595001220703,59.53256607055664
2017-04-11,33.0526237487793,47.23825454711914,129.9499969482422,45.11800003051758,172.71678161621094,165.6999969482422,147.01412963867188,83.75060272216797,80.88066101074219,41.16749954223633,41.99399948120117,125.25862884521484,102.85625457763672,70.3587875366211,75.73656463623047,107.7693328857422,139.77169799804688,48.27934646606445,60.03800582885742,24.20691299438477,74.23062896728516,20.58066749572754,149.54978942871094,84.7063980102539,59.32489013671875
2017-04-12,33.09229278564453,47.37809753417969,129.3800048828125,44.811500549316406,166.0875701904297,165.11000061035156,146.6177520751953,83.26123809814453,80.88066101074219,41.21599960327149,42.073001861572266,123.8555908203125,103.83332824707033,70.08796691894531,76.01860046386719,107.15411376953124,139.43206787109375,48.64194107055664,59.80879974365234,24.0070858001709,74.65220642089844,19.78933334350586,149.3063507080078,84.54434204101562,59.41798782348633
2017-04-13,32.91727066040039,47.20145034790039,129.0500030517578,44.23350143432617,167.77069091796875,162.89999389648438,145.4718475341797,83.02154541015625,78.75048828125,41.178001403808594,42.00899887084961,123.32313537597656,103.49383544921876,69.26728057861328,75.69247436523438,106.91378784179688,139.2422637939453,48.3024787902832,59.55204391479492,23.558082580566406,74.42076110839844,20.26666641235352,148.7652587890625,84.72547149658203,58.50133895874024
2017-04-17,33.09929656982422,47.33393096923828,129.99000549316406,45.0994987487793,169.7951202392578,164.35000610351562,146.21282958984375,84.09014892578125,78.80244445800781,41.85850143432617,42.75650024414063,124.50638580322266,104.09827423095705,70.46549224853516,72.60765838623047,108.30763244628906,141.27011108398438,48.44905853271485,60.03800582885742,24.48076438903809,74.71833038330078,20.09600067138672,150.76727294921875,85.62161254882812,58.42254257202149
2017-04-18,32.9522819519043,46.84814834594727,129.80999755859375,45.18899917602539,169.18386840820312,163.69000244140625,146.58331298828125,83.60079193115234,78.4387435913086,41.84099960327149,42.699501037597656,124.88673400878906,100.86902618408205,69.89098358154297,71.56764221191406,108.16344451904295,140.81060791015625,48.04019165039063,59.95549011230469,24.49557304382324,75.0572509765625,20.01666641235352,152.03884887695312,85.54537963867188,58.04301834106445
2017-04-19,32.83091735839844,46.700950622558594,130.22000122070312,44.959999084472656,169.60459899902344,162.75999450683594,146.52301025390625,83.39106750488281,77.3625259399414,41.91049957275391,42.82550048828125,124.43032836914062,100.49639892578124,69.31651306152344,71.29444122314453,107.9423599243164,142.1192169189453,48.32562255859375,59.63456344604492,24.591777801513672,74.63243103027344,20.36800003051757,152.63404846191406,85.56441497802734,57.6419792175293
2017-04-20,33.24165725708008,46.94383239746094,131.4199981689453,45.10300064086914,173.24075317382812,164.97999572753906,146.6005096435547,83.94035339355469,77.844970703125,42.08250045776367,43.00400161743164,125.6981430053711,100.9104232788086,70.21107482910156,72.21990203857422,110.1532974243164,143.64759826660156,48.25619888305664,60.05634689331055,24.98158073425293,74.40754699707031,20.16733360290528,154.69923400878906,86.89913940429688,58.01436996459961
2017-04-21,33.20198059082031,46.97328567504883,131.52000427246094,44.92649841308594,172.8041229248047,163.41000366210938,147.1347198486328,83.68069458007812,77.8523941040039,42.15950012207031,42.9474983215332,126.7800064086914,100.81935119628906,69.36573791503906,72.17582702636719,109.84568786621094,143.5277099609375,47.74702072143555,60.88154602050781,25.08519554138184,73.81614685058594,20.37333297729492,154.3565673828125,86.89913940429688,57.78520202636719
2017-04-24,33.521705627441406,47.591552734375,132.88999938964844,45.37049865722656,175.64634704589844,165.77999877929688,148.4788055419922,84.06019592285156,78.62432098388672,43.13800048828125,43.94649887084961,128.37747192382812,101.7550277709961,71.81143951416016,73.5243148803711,111.22032928466795,145.31582641601562,47.93988800048828,61.91762161254883,25.39850807189941,74.59078216552734,20.53533363342285,155.4116668701172,87.5665054321289,58.08597183227539
2017-04-25,33.72940826416016,47.91539001464844,133.49000549316406,45.38100051879883,177.20240783691406,167.52999877929688,148.78036499023438,84.63943481445312,79.21810913085938,43.6150016784668,44.44200134277344,129.34097290039062,102.20211791992188,72.4351577758789,71.56764221191406,111.63369750976562,146.33474731445312,48.06333160400391,62.27523040771485,25.84012031555176,74.96560668945312,20.91933250427246,156.9538116455078,87.81436920166016,58.529972076416016
2017-04-26,33.531036376953125,47.87123107910156,132.7899932861328,45.464500427246094,175.99566650390625,167.6300048828125,152.33013916015625,84.83917236328125,78.73564910888672,43.58649826049805,44.45700073242188,130.34677124023438,102.26837158203124,72.57469940185547,71.35614013671875,111.67213439941406,146.4046630859375,48.37192153930664,62.19271469116211,25.66249084472656,73.08314514160156,20.67799949645996,157.2604522705078,87.53788757324219,58.29364776611328
2017-04-27,33.55670547485352,48.62933349609375,133.3800048828125,45.91899871826172,177.11508178710938,166.5500030517578,152.8902130126953,85.73799896240234,78.28289031982422,43.712501525878906,44.571998596191406,131.95263671875,102.45881652832033,71.90171813964844,71.6822280883789,112.56613159179688,147.54345703125,48.27934646606445,62.59612655639648,26.062156677246094,73.04149627685547,20.57533264160156,157.48593139648438,87.3281478881836,58.193389892578125
2017-04-28,33.52404022216797,48.53365707397461,133.74000549316406,46.2495002746582,175.30496215820312,165.2100067138672,152.95050048828125,86.00765228271484,79.1958236694336,45.29800033569336,46.22600173950195,131.93569946289062,102.2352523803711,71.40110778808594,72.32564544677734,111.81632995605467,150.0907440185547,48.08646774291992,62.77032470703125,25.73157119750977,72.74163055419922,20.9379997253418,157.7113494873047,86.96586608886719,58.47270584106445
2017-05-01,34.20781707763672,48.93111801147461,135.11000061035156,47.4114990234375,175.70989990234375,165.44000244140625,153.24343872070312,86.54695129394531,78.61688995361328,45.62850189208984,46.64099884033203,130.33831787109375,102.12759399414062,71.45030975341797,72.11410522460938,111.86439514160156,152.2984161376953,48.12504196166992,63.64139938354492,26.30887222290039,72.54173278808594,21.52199935913086,157.4497833251953,87.0040283203125,58.76630783081055
2017-05-02,34.42485809326172,49.04150772094727,135.0,47.34700012207031,178.98875427246094,166.0500030517578,153.87242126464844,86.97637939453125,78.20122528076172,45.821998596191406,46.85449981689453,130.96377563476562,102.42568969726562,70.99073791503906,72.0083236694336,113.54664611816406,152.61807250976562,48.37192153930664,63.54052734375,25.52927589416504,71.81706237792969,21.25933265686035,157.04400634765625,88.22431945800781,58.759159088134766
2017-05-03,34.31985092163086,49.12247467041016,134.85000610351562,47.05149841308594,178.5520782470703,166.72999572753906,154.93215942382812,86.43709564208984,79.2106704711914,46.35200119018555,47.42250061035156,131.0060272216797,102.1193389892578,71.40110778808594,71.61174011230469,112.7872314453125,151.6391143798828,49.08940505981445,63.338809967041016,25.71922874450684,71.99197387695312,20.73466682434082,155.60105895996094,88.12898254394531,59.224639892578125
2017-05-04,34.196144104003906,49.483131408691406,134.61000061035156,46.87649917602539,177.36122131347656,166.33999633789062,157.19815063476562,86.4071273803711,77.79300689697266,46.58300018310547,47.73600006103516,130.88766479492188,102.63268280029295,71.483154296875,73.18939971923828,113.3543930053711,150.69012451171875,48.89653015136719,63.09125518798828,25.62055397033692,72.0086441040039,19.69733238220215,156.93577575683594,88.30061340332031,58.465518951416016
2017-05-05,34.76325988769531,49.306488037109375,134.83999633789062,46.70750045776367,179.7826385498047,166.5500030517578,155.25958251953125,86.8565444946289,78.52040100097656,46.35649871826172,47.51399993896485,131.62298583984375,102.26837158203124,71.40110778808594,72.72227478027344,112.95065307617188,150.0807647705078,49.351707458496094,63.265472412109375,25.623016357421875,72.05028533935547,20.55666732788086,157.02597045898438,87.79530334472656,58.73764801025391
